51913,25,1,072021,7,0,5.0,1271,311,27,2
51914,25,2,072021,15,3,6.0,1169,210,27,2
51915,39,0,072021,10,1,6.0,2004,486,27,2
51916,39,1,072021,6,1,3.0,914,253,27,2
51917,39,2,072021,4,0,3.0,1073,230,27,2
51918,58,0,072021,25,1,3.0,1095,334,27,2
51919,58,1,072021,13,0,2.0,514,189,27,2
51920,58,2,072021,12,1,1.0,565,142,27,2
51921,70,0,072021,12,1,7.0,1308,266,27,2
51922,70,1,072021,5,1,3.0,650,152,27,2
51923,70,2,072021,7,0,4.0,655,113,27,2
51924,71,0,072021,48,2,23.0,4775,1107,27,2
51925,71,1,072021,28,2,12.0,2191,590,27,2
51926,71,2,072021,20,0,11.0,2543,509,27,2
51927,89,0,072021,24,3,14.0,2367,590,27,2
51928,89,1,072021,13,2,7.0,1160,328,27,2
51929,89,2,072021,11,1,7.0,1182,257,27,2
51930,90,0,072021,4,0,4.0,2218,600,27,2
51931,90,1,072021,1,0,1.0,1093,352,27,2
51932,90,2,072021,3,0,3.0,1125,248,27,2
51933,21,0,072021,72,4,29.0,3832,945,27,2
51934,21,1,072021,35,1,13.0,1933,548,27,2
51935,21,2,072021,36,2,16.0,1872,390,27,2
51936,25,0,072021,23,3,12.0,2446,522,27,2
51937,25,1,072021,7,0,5.0,1271,311,27,2
51938,25,2,072021,16,3,7.0,1170,210,27,2
51939,39,0,072021,11,1,7.0,2005,486,27,2
51940,39,1,072021,7,1,4.0,914,253,27,2
51941,39,2,072021,4,0,3.0,1074,230,27,2
51942,58,0,072021,20,1,2.0,1099,335,27,2
51943,58,1,072021,10,0,1.0,517,189,27,2
51944,58,2,072021,10,1,1.0,566,143,27,2
51945,70,0,072021,12,1,7.0,1308,266,27,2
51946,70,1,072021,5,1,3.0,650,152,27,2
51947,70,2,072021,7,0,4.0,655,113,27,2
51948,71,0,072021,48,2,23.0,4776,1107,27,2
51949,71,1,072021,28,2,12.0,2192,590,27,2
51950,71,2,072021,20,0,11.0,2543,509,27,2
51951,89,0,072021,21,3,10.0,2372,590,27,2
51952,89,1,072021,12,3,6.0,1163,328,27,2
51953,89,2,072021,9,0,4.0,1184,257,27,2
51954,90,0,072021,6,0,5.0,2218,600,27,2
51955,90,1,072021,2,0,2.0,1093,352,27,2
51956,90,2,072021,4,0,3.0,1125,248,27,2
51957,21,0,072021,68,4,27.0,3835,945,27,2
51958,21,1,072021,32,2,11.0,1936,548,27,2
51959,21,2,072021,35,1,16.0,1872,390,27,2
51960,25,0,072021,28,2,18.0,2446,522,27,2
51961,25,1,072021,11,0,9.0,1271,311,27,2
51962,25,2,072021,17,2,9.0,1170,210,27,2
51963,39,0,072021,12,1,8.0,2005,486,27,2
51964,39,1,072021,7,1,4.0,914,253,27,2
51965,39,2,072021,5,0,4.0,1074,230,27,2
51966,58,0,072021,20,1,2.0,1099,335,27,2
51967,58,1,072021,10,0,1.0,517,189,27,2
51968,58,2,072021,10,1,1.0,566,143,27,2
51969,70,0,072021,13,1,8.0,1308,266,27,2
51970,70,1,072021,5,1,3.0,650,152,27,2
51971,70,2,072021,8,0,5.0,655,113,27,2
51972,71,0,072021,49,3,23.0,4780,1107,27,2
51973,71,1,072021,31,3,14.0,2194,590,27,2
51974,71,2,072021,18,0,9.0,2545,509,27,2
51975,89,0,072021,20,2,12.0,2387,595,27,2
51976,89,1,072021,10,2,6.0,1166,330,27,2
51977,89,2,072021,10,0,6.0,1196,260,27,2
51978,90,0,072021,8,0,7.0,2219,600,27,2
51979,90,1,072021,4,0,4.0,1093,352,27,2
51980,90,2,072021,4,0,3.0,1126,248,27,2
51981,21,0,072021,68,4,27.0,3835,945,27,2
51982,21,1,072021,32,2,11.0,1936,548,27,2
51983,21,2,072021,35,1,16.0,1872,390,27,2
51984,25,0,072021,28,2,18.0,2446,522,27,2
51985,25,1,072021,11,0,9.0,1271,311,27,2
51986,25,2,072021,17,2,9.0,1170,210,27,2
51987,39,0,072021,12,1,8.0,2005,486,27,2
51988,39,1,072021,7,1,4.0,914,253,27,2
51989,39,2,072021,5,0,4.0,1074,230,27,2
51990,58,0,072021,19,2,1.0,1100,335,27,2
51991,58,1,072021,9,1,0.0,518,189,27,2
51992,58,2,072021,10,1,1.0,566,143,27,2
51993,70,0,072021,13,1,8.0,1308,266,27,2
51994,70,1,072021,5,1,3.0,650,152,27,2
51995,70,2,072021,8,0,5.0,655,113,27,2
51996,71,0,072021,51,3,25.0,4780,1107,27,2
51997,71,1,072021,33,3,16.0,2194,590,27,2
51998,71,2,072021,18,0,9.0,2545,509,27,2
51999,89,0,072021,21,2,14.0,2388,595,27,2
52000,89,1,072021,11,2,7.0,1166,330,27,2
52001,89,2,072021,9,0,6.0,1197,260,27,2
52002,90,0,072021,7,0,6.0,2220,600,27,2
52003,90,1,072021,4,0,4.0,1093,352,27,2
52004,90,2,072021,3,0,2.0,1127,248,27,2
55593,22,0,072021,21,3,7.0,1256,247,53,0
55594,22,1,072021,9,2,2.0,593,141,53,0
55595,22,2,072021,11,1,5.0,659,105,53,0
55596,29,0,072021,57,6,26.0,1133,264,53,0
55597,29,1,072021,37,6,15.0,578,170,53,0
55598,29,2,072021,20,0,11.0,544,92,53,0
55599,35,0,072021,156,9,77.0,3558,709,53,0
55600,35,1,072021,76,5,44.0,1784,392,53,0
55601,35,2,072021,80,4,33.0,1747,314,53,0
