id,type,natureObjetMarche,referenceCPV,datePublicationDonnees,Montant,formePrix,nomAcheteur,Latitude Acheteur,Longitude Acheteur,categorieEtablissement,distanceAcheteurEtablissement,Latitude Etablissement,Longitude Etablissement,date
20140000100,Marché,Services,"Services d'élimination de déchets toxiques, excepté déchets radioactifs et sols contaminés",30/01/2014,19605.32,Révisable,VALCOR,47.8961667158,-3.90749863443,NC,302.38555443487263,48.3168832851,-1.20580251216,012014
20160000300,Marché,Services,Services d'assistance informatique,01/01/2016,4974.02,Révisable,,,,PME,,48.840040811,2.29268840406,012016
20172020F0415800,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,05/01/2017,10440.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,PME,620.0683979893585,43.5390131127,1.52156442051,012017
20170003600,Marché,Services,Services d'ingénierie géotechnique,10/01/2017,120000.0,Révisable,Lorient Agglomération,47.7502629938,-3.37883364048,NC,60.8428511526544,47.6974514811,-2.83117278171,012017
20172020F0417000,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,06/01/2017,127861.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,ETI,745.0037893041821,47.2927181449,5.00524547066,012017
20172020F0416700,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,05/01/2017,1432.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,PME,452.5154206877171,48.8769868607,2.33753841595,012017
20172020F0410600,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,05/01/2017,154830.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,PME,438.76473051139817,48.8963161116,2.20694242609,012017
20172020F0413700,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,05/01/2017,15531.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,PME,447.931298359731,48.7987242503,2.30977129909,012017
20172020F0413400,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,06/01/2017,17452.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,GE,208.5164520782768,47.9889433531,0.20002401353,012017
2017F0054MAOOC00,Marché,Fournitures,Chlorure ferrique,30/01/2017,183400.0,Révisable,SM EAUX ASSAINISSEMENT ALSACE MOSELLE,48.6117085666,7.74585158102,ETI,442.5085699393834,45.7380869696,4.96241516988,012017
2017F0116MAOOC00,Marché,Fournitures,Compresseurs,30/01/2017,195788.0,Révisable,SM EAUX ASSAINISSEMENT ALSACE MOSELLE,48.6117085666,7.74585158102,PME,102.25157247992678,47.7495539899,7.40712025806,012017
20172020F0417100,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,05/01/2017,21057.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,NC,425.4536857011191,49.0400551805,2.05074797264,012017
20172020F0415900,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,06/01/2017,21825.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,PME,1015.3793680606254,47.6364363729,7.48825511443,012017
2017150773962900,Marché,Travaux,Travaux de construction,15/01/2017,272500.0,,SGAMI OUEST - Rennes - Bureau Zonal des Achats et des Marchés Publics,48.075697512,-1.72369525238,NC,105.63574252561376,47.1602431078,-1.47084254473,012017
20172020F0413900,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,06/01/2017,37360.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,ETI,468.66090215946747,48.8745436228,2.48657191747,012017
2017130012105200,Marché,Fournitures,,01/01/2017,385270.0,,Préfecture de la Haute Savoie,45.8900209706,6.12570413482,NC,82.34444544912583,45.204410391,5.83712484674,012017
20172019S0910100,Marché,Services,Services de maintenance des systèmes et services d'assistance,13/01/2017,4000000.0,Révisable,CHRU CAEN,49.1850685346,-0.370026383608,GE,263.4588402324551,48.8189711119,1.98393789025,012017
20172019S0909800,Marché,Services,Services de maintenance des systèmes et services d'assistance,13/01/2017,4000000.0,Révisable,CHRU CAEN,49.1850685346,-0.370026383608,GE,263.4588402324551,48.8189711119,1.98393789025,012017
20172019S0909700,Marché,Services,Services de maintenance des systèmes et services d'assistance,13/01/2017,4000000.0,Révisable,CHRU CAEN,49.1850685346,-0.370026383608,GE,263.4588402324551,48.8189711119,1.98393789025,012017
20172016_007_DECH00,Marché,Fournitures,,31/01/2017,40630.0,Ferme,,,,NC,,48.4191016946,-4.56234146173,012017
20172020F0416900,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,06/01/2017,41434.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,ETI,447.39753304772165,48.8951908356,2.28680331405,012017
2017F0021MAOOC00,Marché,Fournitures,Chlorure ferrique,30/01/2017,546592.0,Révisable,SM EAUX ASSAINISSEMENT ALSACE MOSELLE,48.6117085666,7.74585158102,PME,5.044885881441623,48.5716343863,7.76783353204,012017
20172020F0416400,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,06/01/2017,5475.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,NC,440.96518714926805,48.8365394869,2.2389245247,012017
20172020F0416000,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,06/01/2017,6071.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,PME,913.8102167433109,48.0014591284,6.58149912599,012017
20172019S0767500,Marché,Services,Services d'architecte pour les bâtiments,03/01/2017,613000.0,,CHU GRENOBLE,45.2097006413,5.74400008015,NC,7.622153620686127,45.1470636912,5.71546169286,012017
20172020F0416600,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,05/01/2017,63391.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,PME,731.2313498223737,45.8558270771,4.52975194828,012017
2017CC060100,Marché,Services,"Services d'architecture, services de construction, services d'ingénierie et services d'inspection",12/01/2017,63672.0,Ferme,CTE CNES ECUEILLE VALENCAY,47.1559939704,1.55890789955,PME,248.50422313758,46.2921716819,-0.513442811711,012017
20172020F0416100,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,05/01/2017,654.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,PME,216.1802890020952,47.943391357,0.266034340295,012017
20172020F0417200,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,06/01/2017,6906.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,NC,208.5164520782768,47.9889433531,0.20002401353,012017
20172020F0409500,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,05/01/2017,77400.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,PME,452.5154206877171,48.8769868607,2.33753841595,012017
20172020F0416800,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,06/01/2017,78915.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,PME,769.3700388329639,45.2462974654,4.65115146795,012017
20172020F0415600,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,06/01/2017,81408.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,PME,443.124719583205,48.9070545951,2.24498168132,012017
20172020F0415700,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,05/01/2017,91093.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,ETI,1002.8940037897944,48.2801866972,7.38618553368,012017
20172020F0416500,Marché,Fournitures,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques,05/01/2017,9840.0,Ferme,CHU RENNES,48.111571436,-1.68168588816,ETI,603.5040054564914,50.6752771707,3.12787285895,012017
20182019F5025200,Marché,Fournitures,Appareils d'hémodialyse,11/01/2018,0.01,Ferme,CHRU NANCY,48.6900671002,6.17594832427,NC,435.662264724046,48.8365394869,2.2389245247,012018
20182019F5029200,Marché,Fournitures,Appareils d'hémodialyse,11/01/2018,1000.0,,CHRU NANCY,48.6900671002,6.17594832427,ETI,425.8277995739921,48.7571298891,2.32570690794,012018
20182018S2409300,Marché,Services,"Services de mise à disposition de personnel, y compris de personnel temporaire",01/01/2018,100000.0,Ferme,Institut Français de Recherche pour l’Exploitation de la MER,48.8231210367,2.26445901319,GE,15.83526018914253,48.9296428406,2.35946866986,012018
20182017F0010900,Marché,Fournitures,Gaz médicaux,18/01/2018,1034283.0,Révisable,CHR ORLEANS,47.8824665066,1.91660961834,GE,116.817762688678,48.8562037309,2.3121193117,012018
20182019F0010100,Marché,Fournitures,Matériels de radiodiagnostic,23/01/2018,105959.0,Ferme et actualisable,CHU NICE,43.7123384529,7.23750191149,NC,,,,012018
20182019F0010300,Marché,Fournitures,Matériels de radiodiagnostic,23/01/2018,10640.0,Ferme et actualisable,CHU NICE,43.7123384529,7.23750191149,PME,406.99049025705995,45.9643547946,4.32913805165,012018
20182019F0008200,Marché,Fournitures,Matériels de radiodiagnostic,23/01/2018,10745.0,Ferme et actualisable,CHU NICE,43.7123384529,7.23750191149,NC,790.0198699192912,48.8727847696,2.31253091684,012018
20182019F0007300,Marché,Fournitures,Matériels de radiodiagnostic,23/01/2018,112350.0,Ferme et actualisable,CHU NICE,43.7123384529,7.23750191149,PME,796.3695473901148,48.9346127594,2.29454165622,012018
20182019F0014500,Marché,Fournitures,Matériels de radiodiagnostic,23/01/2018,1133.13,Ferme et actualisable,CHU NICE,43.7123384529,7.23750191149,ETI,793.7875461571095,48.8951908356,2.28680331405,012018
