20212020F0003400,Marché,Fournitures,Viande de bœuf hachée,13/01/2021,80000.0,Révisable,Mairie de Vitré,48.1141022217,-1.19361071317,GE,230.3681370284375,47.7688489688,-3.24780481503,012021
2021FCS0600,Marché,Services,Services divers d'entretien et de réparation,23/01/2021,80000.0,Révisable,Société d'Exploitation des Ports du Détroit,50.7114741415,1.57538868354,NC,404.1438638747623,47.1360624335,2.22073975857,012021
20191295VUJdR900,Marché,Fournitures,,27/01/2021,80000.0,Révisable,Mairie de Corbeil Essonnes,48.603809105,2.46932274471,ETI,546.3321033920773,48.1100979739,7.3849252282,012021
2021V2006600,Marché,Fournitures,Combustibles à base de bois,06/01/2021,80000.0,Ferme,VILLE DE CHOLET,47.0458179875,-0.877097655444,PME,58.5241659347797,47.4271562836,-0.51272459615,012021
2020DCT12400,Marché,Services,Services de nettoyage de textile,11/01/2021,80000.0,Ferme,Budget principal,45.1821782198,5.72099089704,PME,0.0,45.1821782198,5.72099089704,012021
202121T02500,Marché,Services,Services d'arpentage,25/01/2021,80000.0,Révisable,Département de la Haute-Loire,45.02773512,3.89608931701,PME,111.7384475245441,45.7434742148,3.18623551965,012021
2020-M04500,Marché,Services,Services de réparation et d'entretien d'installations de bâtiments,25/01/2021,80000.0,Ferme,14 BUDGET PRINCIPAL,45.7860240236,4.92675965549,ETI,0.0,45.7860240236,4.92675965549,012021
2021V20066R00,Marché,Fournitures,Combustibles à base de bois,14/01/2021,80000.0,Ferme,VILLE DE CHOLET,47.0458179875,-0.877097655444,PME,78.04837920105278,47.1831645539,-0.184927233781,012021
202001201423H00,Marché,Fournitures,Raccords pour tuyaux,12/01/2021,80000.0,Révisable,Budget Principal,47.2801589313,-2.25106183059,ETI,321.2872985498211,47.3326814781,0.654069551082,012021
20212021S0237100,Marché,Services,Services de maintenance préventive,15/01/2021,80000.0,Révisable,CH VALENCIENNES,50.3591232468,3.51599087764,PME,514.5398183458434,47.6925479431,7.32527813127,012021
